"month_year","Tavg"
"09-07",26.4478638184246
"09-08",26.5205111402359
"09-09",26.6390424814565
"09-10",26.9802770448549
"09-11",27.1463494132986
"09-12",27.0181340341656
"10-01",26.643198407432
"10-02",26.6414438502674
"10-03",26.9156771180787
"10-04",27.1332884097035
"10-05",27.3851351351351
"10-06",27.054490209318
"10-07",26.4655241935484
"10-08",26.5862524785195
"10-09",26.6256513026052
"10-10",27.1255445544554
"10-11",27.1979618671926
"10-12",26.9478576137113
"11-01",26.6492317969272
"11-02",26.663126252505
"11-03",26.8562624254473
"11-04",27.0885388739946
"11-05",27.3977011494253
"11-06",26.958938172043
"11-07",26.445046854083
"11-08",26.6018518518519
"11-09",26.5941844919786
"11-10",27.2196655518395
"11-11",27.2598697068404
"11-12",26.8369980250165
"12-01",26.6083720930233
"12-02",26.6494645247657
"12-03",26.8378686327078
"12-04",27.1118243243243
"12-05",27.340798376184
"12-06",26.8444520547945
"12-07",26.4661290322581
"12-08",26.5565850430179
"12-09",26.6897986577181
"12-10",27.1237106496986
"12-11",27.2655127367733
"12-12",26.8179470198675
"13-01",26.5650132275132
"13-02",26.720107599193
"13-03",26.8421404682274
"13-04",27.1838185511171
"13-05",27.3495489243581
"13-06",26.7941891891892
"13-07",26.4225634178905
"13-08",26.5527978933509
"13-09",26.6099257258609
"13-10",27.1824735449735
"13-11",27.2240837696335
"13-12",26.8527611443779
"14-01",26.4968791500664
"14-02",26.7129966329966
"14-03",26.8453145917001
"14-04",27.1943510423672
"14-05",27.2739336492891
"14-06",26.8136363636364
"14-07",26.3666666666667
"14-08",26.511432325887
"14-09",26.6738983050847
"14-10",27.2791831357049
"14-11",27.1550392670157
"14-12",26.7504301786896
"15-01",26.5028112449799
"15-02",26.5969676549865
"15-03",26.9002013422819
"15-04",27.2456258411844
"15-05",27.3162947937796
"15-06",26.7224324324324
"15-07",26.3506556245687
"15-08",26.4693527080581
"15-09",26.6701986754967
"15-10",27.3422356091031
"15-11",27.2071102413568
"15-12",26.7816259087905
"16-01",26.5531459170013
"16-02",26.631748158071
"16-03",26.9310621242485
"16-04",27.1843792633015
"16-05",27.3175355450237
"16-06",26.6997286295794
"16-07",26.3231333333333
"16-08",26.4304491413474
"16-09",26.8159737417943
"16-10",27.3148721399731
"16-11",27.2189171559035
"16-12",26.7755496335776
"17-01",26.5490691489362
"17-02",26.6177462887989
"17-03",26.9174698795181
"17-04",27.2039136302294
"17-05",27.283569979716
"17-06",26.6900541271989
"17-07",26.4059452237809
"17-08",26.4509533201841
"17-09",26.8380291970803
"17-10",27.3361018084394
"17-11",27.2360186418109
"17-12",26.6783068783069
"18-01",26.6484605087015
"18-02",26.6411962365591
"18-03",26.9282855236825
"18-04",27.1769230769231
"18-05",27.2409891598916
"18-06",26.6368421052632
"18-07",26.366954787234
"18-08",26.4137358991374
"18-09",27.0183899556869
"18-10",27.3257200267917
"18-11",27.3068062827225
"18-12",26.7773059057731
"19-01",26.5652173913043
"19-02",26.6673592493298
"19-03",26.9729693741678
"19-04",27.156893073302
"19-05",27.273748308525
"19-06",26.6448648648649
"19-07",26.4264745308311
"19-08",26.4676334871457
"19-09",26.8814516129032
"19-10",27.2939089692102
"19-11",27.2371710526316
"19-12",26.8093457943925
"20-01",26.5312
"20-02",26.6643624161074
"20-03",26.9161911081619
"20-04",27.2447297297297
"20-05",27.2279401767505
"20-06",26.688490182803
"20-07",26.4929002009377
"20-08",26.5443037974684
"20-09",26.8033039647577
"20-10",27.3305277221109
"20-11",27.2526107072042
"20-12",26.7734899328859
"21-01",26.501598934044
"21-02",26.6461798512508
"21-03",26.9484949832776
"21-04",27.2692255434783
"21-05",27.1669404517454
"21-06",26.7495593220339
"21-07",26.4711186440678
